CarNumber,Make,Model,Refund,Fines,Year
M386M9197RUS,Volkswagen,Golf,2,5800.0,2014
8605T8154RUS,Ford,Focus,1,1000.0,1994
O22297197RUS,Ford,Focus,1,8594.5864661654,2008
7147OE161RUS,Ford,Focus,1,500.0,2014
O134HE197RUS,Ford,Focus,2,7600.0,1984
7361C8197RUS,Ford,Focus,1,1600.0,2014
Y359EY197RUS,Skoda,Octavia,2,3000.0,2005
T6559O50RUS,Ford,Focus,1,4000.0,1985
E53277152RUS,Ford,Focus,1,500.0,1993
X015HY197RUS,Toyota,Corolla,1,8000.0,1998
9469EX178RUS,Ford,Focus,2,2100.0,2010
Y6839Y50RUS,Ford,Focus,2,3000.0,1995
H237YH197RUS,Ford,Focus,1,600.0,2005
T948OM96RUS,Ford,Focus,1,2000.0,1999
T395KX197RUS,Ford,Focus,2,15200.0,1993
M301CH161RUS,Ford,Focus,1,8000.0,1988
M581CH197RUS,Ford,Focus,1,100.0,1993
E79988152RUS,Ford,Focus,1,1500.0,1987
9496KX178RUS,Ford,Focus,1,500.0,2018
T6319O50RUS,Ford,Focus,2,8594.5864661654,1997
H305T8197RUS,Ford,Focus,1,28100.0,2002
8201XX154RUS,Ford,Focus,2,2600.0,1990
O64297197RUS,Ford,Focus,1,300.0,1982
9523M8178RUS,Skoda,Octavia,1,600.0,1985
Y273O8197RUS,Ford,Focus,2,52600.0,1985
T6229O50RUS,Ford,Focus,2,2500.0,1983
9943KK197RUS,Ford,Focus,2,19800.0,1988
X023HY197RUS,Volvo,,2,10200.0,1996
8226XX154RUS,Ford,Focus,2,1000.0,1981
Y038TO197RUS,Toyota,Corolla,1,7600.0,1983
M0289X197RUS,Ford,Focus,2,40600.0,2004
E811HE77RUS,Ford,Focus,2,7000.0,1984
X795O796RUS,Ford,Focus,1,2000.0,1982
O39997197RUS,Ford,Focus,1,9000.0,1991
97968K152RUS,Ford,Focus,2,500.0,1999
K339T8197RUS,Ford,Focus,2,8594.5864661654,2018
H219X836RUS,Ford,Focus,1,1600.0,1991
T6169O50RUS,Ford,Focus,1,500.0,2017
Y352O8197RUS,Ford,Focus,2,25900.0,2002
94178K154RUS,Ford,Focus,1,500.0,2015
7365C8197RUS,Ford,Focus,2,6900.0,2018
9467EX178RUS,Ford,Focus,2,3700.0,2015
O78097197RUS,Ford,Focus,2,1400.0,2011
X5707X161RUS,Volkswagen,Passat,2,500.0,1990
Y232E877RUS,Ford,Focus,2,5000.0,2017
Y388E877RUS,Ford,Focus,2,19000.0,2001
X255HE161RUS,Ford,Focus,1,400.0,2008
E552MO152RUS,Ford,Focus,1,8594.5864661654,2013
97998K152RUS,Ford,Focus,2,6300.0,1994
Y963O8197RUS,Ford,Focus,2,21600.0,1997
Y778EE197RUS,Volkswagen,Golf,2,168000.0,2012
T654HT96RUS,Toyota,Corolla,2,2000.0,1981
T477KX197RUS,Ford,Focus,2,94000.0,1992
T2639T116RUS,Ford,Focus,1,3000.0,2007
O49797197RUS,Ford,Focus,2,5300.0,2005
O83597197RUS,Ford,Focus,2,8000.0,1997
H387TM197RUS,Volkswagen,Passat,2,3200.0,1985
O68897197RUS,Ford,Focus,1,8200.0,1998
72457Y96RUS,Ford,Focus,1,900.0,1987
7064C8197RUS,Volkswagen,Passat,1,12800.0,1996
E948C8152RUS,Ford,Focus,2,6000.0,2013
C514X938RUS,Ford,Focus,2,8594.5864661654,1994
C589EY154RUS,Ford,Focus,1,4500.0,1981
K899T8197RUS,Ford,Focus,2,15400.0,1984
T6418M116RUS,Ford,Focus,2,24600.0,1992
8607XX154RUS,Skoda,Octavia,2,2400.0,1982
92778M178RUS,Ford,Focus,2,3000.0,2013
T288CT96RUS,Ford,Focus,1,4500.0,2001
9886HX152RUS,Ford,Focus,2,2900.0,1981
C583EY154RUS,Ford,Focus,1,1000.0,1987
7788KT197RUS,Ford,Focus,1,20000.0,2011
T016OX197RUS,Toyota,Corolla,2,9600.0,1984
T6419O50RUS,Ford,Focus,2,27000.0,2000
C592EY154RUS,Ford,Focus,1,1000.0,1996
T6459O50RUS,Ford,Focus,1,2000.0,2002
Y356O8197RUS,Ford,Focus,2,8594.5864661654,1996
X759HY197RUS,Ford,Focus,2,12500.0,2012
705787163RUS,Ford,Focus,1,100.0,1984
Y973O8197RUS,Ford,Focus,1,69600.0,2006
92898M178RUS,Ford,Focus,1,1600.0,2011
9671EC178RUS,Ford,Focus,1,600.0,1987
M302CH161RUS,Ford,Focus,1,500.0,1997
X023HY197RUS,Volvo,,2,6800.0,2002
M578CH197RUS,Ford,Focus,2,9000.0,1994
O77997197RUS,Ford,Focus,2,5600.0,1990
7368C8197RUS,Ford,Focus,2,8800.0,2005
9683EC178RUS,Ford,Focus,2,6500.0,2005
Y207O8161RUS,Ford,Focus,1,500.0,1997
96659X178RUS,Ford,Focus,1,2700.0,2000
T912CT197RUS,Toyota,Camry,2,19800.0,1983
7183TT36RUS,Ford,Focus,2,16200.0,2010
89557X197RUS,Toyota,Camry,2,22400.0,1994
E773EH197RUS,Ford,Focus,2,8594.5864661654,2000
Y359O8197RUS,Ford,Focus,1,2000.0,2008
K2817K154RUS,Ford,Focus,1,4500.0,1994
X758HY197RUS,Ford,Focus,2,145200.0,2009
Y964O8197RUS,Ford,Focus,1,1000.0,1994
H967HY161RUS,Ford,Focus,2,4500.0,2005
E394MO152RUS,Ford,Focus,2,10500.0,2010
O50699163RUS,Ford,Focus,1,1100.0,2003
9463EX178RUS,Ford,Focus,1,1400.0,2001
E53677152RUS,Ford,Focus,2,5500.0,2003
K338T8197RUS,Ford,Focus,2,17400.0,2016
Y4298M777RUS,Skoda,Octavia,2,2000.0,1990
Y687HM197RUS,BMW,,1,8594.5864661654,2017
8311XX154RUS,Ford,Focus,2,4300.0,1987
98037H178RUS,Ford,Focus,2,2500.0,1990
7828C8197RUS,Ford,Focus,2,6700.0,1994
H980HY161RUS,Ford,Focus,2,1800.0,1981
H906YK197RUS,Ford,Focus,1,12000.0,2013
7199MT197RUS,Volkswagen,Golf,1,9300.0,2008
X908XC197RUS,Volkswagen,Jetta,2,46000.0,1993
T171CC96RUS,Ford,Focus,2,2000.0,1983
X4108H125RUS,Ford,Focus,2,1300.0,2003
Y966O8197RUS,Ford,Focus,2,10400.0,2000
K2797K154RUS,Ford,Focus,2,2400.0,2002
7089H8163RUS,Toyota,Corolla,2,4400.0,2015
9883HX152RUS,Ford,Focus,1,500.0,2009
7841C8197RUS,Ford,Focus,1,12000.0,2008
9940KK197RUS,Ford,Focus,1,8594.5864661654,1986
H224X836RUS,Ford,Focus,2,7000.0,1992
H971HY161RUS,Ford,Focus,2,7400.0,2012
M0269X197RUS,Ford,Focus,2,20600.0,2013
E316EH197RUS,Volkswagen,Touareg,1,1300.0,1986
X257HE161RUS,Ford,Focus,1,5000.0,2007
H844YH197RUS,Ford,Focus,2,3000.0,1990
9523M8178RUS,Skoda,Octavia,2,300.0,2018
E33477152RUS,Ford,Focus,1,500.0,1989
Y156E877RUS,Ford,Focus,2,7500.0,1994
E396MO152RUS,Ford,Focus,2,3000.0,1989
E0697X152RUS,Skoda,Octavia,2,8594.5864661654,1980
Y969O8197RUS,Ford,Focus,1,15600.0,2011
9028CO161RUS,Ford,Focus,1,1500.0,2010
7840C8197RUS,Ford,Focus,2,3500.0,2003
T6249O50RUS,Ford,Focus,2,8500.0,1983
E53677152RUS,Ford,Focus,2,11000.0,1995
E42377152RUS,Ford,Focus,2,3000.0,1980
9941KK197RUS,Ford,Focus,1,800.0,1996
E28877161RUS,Ford,Focus,1,500.0,2014
M0299X197RUS,Ford,Focus,2,19200.0,1999
M372CH197RUS,Ford,Focus,1,21600.0,1987
K040CC197RUS,Ford,Focus,2,3600.0,1990
E41577152RUS,Ford,Focus,2,3000.0,1987
9763HY161RUS,Ford,Focus,1,900.0,1996
T535ET96RUS,Ford,Focus,2,3000.0,1991
92918M178RUS,Ford,Focus,2,7600.0,1987
Y655E8750RUS,Skoda,Octavia,1,2600.0,1983
K2797K154RUS,Ford,Focus,1,8594.5864661654,1983
K559KC161RUS,Ford,Focus,1,200.0,1985
7369C8197RUS,Ford,Focus,2,10100.0,1998
8321XX154RUS,Ford,Focus,1,200.0,1986
O134HE197RUS,Ford,Focus,2,11400.0,2016
H961HY161RUS,Ford,Focus,2,2500.0,2006
M2169X197RUS,Ford,Focus,2,3100.0,1985
707987163RUS,Ford,Focus,1,1100.0,2000
8234XX154RUS,Ford,Focus,1,1300.0,2006
X759HY197RUS,Ford,Focus,1,37500.0,1995
O83697197RUS,Ford,Focus,2,6100.0,1986
92918M178RUS,Ford,Focus,1,1900.0,1991
92928M178RUS,Ford,Focus,1,1200.0,1997
E52677152RUS,Ford,Focus,2,2500.0,2008
8451M7154RUS,Ford,Focus,1,500.0,2007
9589EY178RUS,Ford,Focus,1,8594.5864661654,2017
H907YK197RUS,Ford,Focus,2,7100.0,1998
O39897197RUS,Ford,Focus,2,3800.0,1991
M3879X197RUS,Volkswagen,Touareg,2,6300.0,1989
C299K9154RUS,Ford,Focus,1,500.0,1981
M0299X197RUS,Ford,Focus,1,9600.0,1998
8437XX154RUS,Ford,Focus,2,800.0,2012
9468EX178RUS,Ford,Focus,1,4000.0,2014
M375CH197RUS,Ford,Focus,2,18100.0,2000
H982HY161RUS,Ford,Focus,1,300.0,2007
8201XX154RUS,Ford,Focus,1,7800.0,2012
8224XX154RUS,Ford,Focus,1,2500.0,1998
O22397197RUS,Ford,Focus,1,18500.0,2001
Y653E8750RUS,Skoda,Octavia,1,500.0,2006
K558KC161RUS,Ford,Focus,1,500.0,1996
O058M7161RUS,Ford,Focus,1,1900.0,1991
M256OH161RUS,Ford,Focus,2,1600.0,2004
7183TT36RUS,Ford,Focus,2,5400.0,2016
T242H8197RUS,Skoda,Octavia,2,8594.5864661654,1984
K27188138RUS,Ford,Focus,1,2000.0,2006
X782CO96RUS,Ford,Focus,1,1000.0,1986
Y7659C197RUS,Ford,Focus,1,1500.0,2009
X523OM161RUS,Ford,Focus,1,400.0,2000
96629X178RUS,Ford,Focus,1,7000.0,1988
9881HX152RUS,Ford,Focus,2,10300.0,2002
9020YC197RUS,Skoda,Octavia,2,72500.0,1994
T479KX197RUS,Ford,Focus,2,12000.0,2000
M680T9152RUS,Volkswagen,Jetta,2,9000.0,1982
7831C8197RUS,Ford,Focus,2,6800.0,1989
7844C8197RUS,Ford,Focus,2,17000.0,2017
T011MY163RUS,Ford,Focus,2,4000.0,1985
C410X938RUS,Ford,Focus,1,1100.0,1989
X762HY197RUS,Ford,Focus,1,500.0,2013
9470EX178RUS,Ford,Focus,1,500.0,2009
X4128H125RUS,Ford,Focus,2,8594.5864661654,1996
9762HY161RUS,Ford,Focus,2,2600.0,2001
H419XE197RUS,Toyota,Corolla,2,6900.0,2018
98017H178RUS,Ford,Focus,1,1500.0,2012
Y780EE197RUS,Volkswagen,Golf,2,4600.0,1993
M580CH197RUS,Ford,Focus,2,9500.0,2001
T686EO197RUS,Toyota,Camry,1,1000.0,2013
9943OH154RUS,Skoda,Octavia,1,400.0,2013
Y354O8197RUS,Ford,Focus,1,10800.0,1998
7065C8197RUS,Volkswagen,Passat,1,3800.0,2016
E28777161RUS,Ford,Focus,1,800.0,1993
M701T9152RUS,Ford,Focus,2,3000.0,1987
E577HE77RUS,Ford,Focus,2,12000.0,1983
92788M178RUS,Ford,Focus,1,1200.0,2001
9072EM178RUS,Ford,Focus,2,4400.0,2017
9409H7178RUS,Skoda,Octavia,1,3000.0,1982
C3829X154RUS,Ford,Focus,2,13500.0,2000
T478KX197RUS,Ford,Focus,2,7500.0,2015
T119CT96RUS,Ford,Focus,1,2000.0,1988
X795O796RUS,Ford,Focus,1,1000.0,2005
708487163RUS,Ford,Focus,1,1000.0,2017
H983HY161RUS,Ford,Focus,1,500.0,2014
7842C8197RUS,Ford,Focus,1,6000.0,2011
O64097197RUS,Ford,Focus,2,8594.5864661654,1992
Y693HM197RUS,BMW,,2,6500.0,2009
96857X197RUS,Skoda,Octavia,1,37800.0,1995
7177TT36RUS,Ford,Focus,1,500.0,2001
9428EX178RUS,Ford,Focus,1,500.0,1980
84438C154RUS,Ford,Focus,2,7600.0,1985
Y7689C197RUS,Ford,Focus,2,9000.0,2017
H427YH197RUS,Volkswagen,Passat,1,9900.0,2017
T394KX197RUS,Ford,Focus,2,1500.0,1984
O49897197RUS,Ford,Focus,2,11800.0,2011
H963X936RUS,Skoda,Octavia,1,1800.0,2007
T341CC96RUS,Volkswagen,Passat,2,1000.0,2015
9942KK197RUS,Ford,Focus,2,6200.0,1986
9141H8178RUS,Skoda,Octavia,1,300.0,1996
9942KK197RUS,Ford,Focus,2,3100.0,1991
7370C8197RUS,Ford,Focus,2,5000.0,2010
9890HX152RUS,Ford,Focus,2,9200.0,1990
9409H7178RUS,Skoda,Octavia,1,6000.0,1981
M268CH197RUS,Toyota,Camry,1,800.0,2008
Y780EE197RUS,Volkswagen,Golf,1,2300.0,1995
Y388E877RUS,Ford,Focus,2,9500.0,1994
C419X938RUS,Ford,Focus,1,1100.0,2007
M0319X197RUS,Ford,Focus,2,4500.0,2000
M577CH197RUS,Ford,Focus,2,17000.0,1987
7361C8197RUS,Ford,Focus,1,8594.5864661654,1985
H975HY161RUS,Ford,Focus,1,2000.0,2006
X018HY197RUS,Toyota,Camry,2,10600.0,1997
E33177152RUS,Ford,Focus,2,7100.0,2004
X256HE161RUS,Ford,Focus,2,1600.0,1985
Y7689C197RUS,Ford,Focus,2,45000.0,2007
7788KT197RUS,Ford,Focus,2,4000.0,1998
9491H7178RUS,Volkswagen,Jetta,1,500.0,2014
M374CH197RUS,Ford,Focus,1,5500.0,1993
96679X178RUS,Ford,Focus,2,2400.0,2005
9594HY161RUS,Ford,Focus,1,300.0,2010
83218C154RUS,Ford,Focus,1,100.0,1985
9764HY161RUS,Ford,Focus,1,800.0,2008
708187163RUS,Ford,Focus,1,1000.0,1986
H908YK197RUS,Ford,Focus,1,4800.0,2008
H004MH197RUS,Ford,Focus,2,19800.0,1981
92788M178RUS,Ford,Focus,1,300.0,2010
Y656E8750RUS,Skoda,Octavia,1,8594.5864661654,1989
9679EC178RUS,Ford,Focus,1,500.0,2016
O017KO197RUS,Ford,Focus,1,1600.0,1983
H957HY161RUS,Ford,Focus,1,1000.0,1982
X286TC36RUS,Ford,Focus,1,500.0,1980
C803KE163RUS,Volkswagen,Jetta,1,1000.0,2011
Y7379Y50RUS,Ford,Focus,2,2000.0,2015
X320MK197RUS,Ford,Focus,1,7500.0,1988
C476M7161RUS,Ford,Focus,2,500.0,2013
H844YH197RUS,Ford,Focus,1,1000.0,1987
96907X197RUS,BMW,,2,3000.0,2003
Y650E8750RUS,Skoda,Octavia,1,1000.0,1993
H235YH197RUS,Skoda,Octavia,2,5100.0,1992
9474EX178RUS,Ford,Focus,1,500.0,2018
Y8259C197RUS,Ford,Focus,1,1500.0,1995
E29577161RUS,Ford,Focus,1,500.0,1999
X761HY197RUS,Ford,Focus,2,18300.0,1987
H387TM197RUS,Volkswagen,Passat,1,8594.5864661654,1999
T396KX197RUS,Ford,Focus,2,10300.0,2001
C593EY154RUS,Ford,Focus,1,1000.0,2017
Y164O8161RUS,Ford,Focus,1,800.0,2001
M942OT152RUS,Ford,Focus,1,2000.0,1987
T476KX197RUS,Ford,Focus,2,4500.0,2011
H889YK197RUS,Ford,Focus,2,21200.0,1991
Y7429Y50RUS,Ford,Focus,2,2000.0,1986
H976HY161RUS,Ford,Focus,2,2200.0,2003
C410X938RUS,Ford,Focus,2,2200.0,1998
Y195O8161RUS,Ford,Focus,1,100.0,1996
O669E8197RUS,Ford,Focus,1,18000.0,2007
Y187O8161RUS,Ford,Focus,2,400.0,2011
K329T8197RUS,Skoda,Octavia,2,13000.0,1982
96659X178RUS,Ford,Focus,1,900.0,1987
7842C8197RUS,Ford,Focus,2,12000.0,2001
O275O7161RUS,Ford,Focus,1,8300.0,2005
9677MO178RUS,Ford,Mondeo,1,2200.0,2011
H957HY161RUS,Ford,Focus,1,8594.5864661654,1992
M0279X197RUS,Ford,Focus,2,36000.0,2017
9939KK197RUS,Ford,Focus,1,1600.0,1985
Y8399C197RUS,Ford,Focus,1,600.0,1982
M373CH197RUS,Ford,Focus,2,6600.0,2011
7164YM36RUS,Ford,Focus,2,18800.0,1980
7843C8197RUS,Ford,Focus,2,4100.0,1992
O753MX161RUS,Ford,Focus,2,700.0,2018
9468EX178RUS,Ford,Focus,2,2000.0,1984
T395KX197RUS,Ford,Focus,2,7600.0,1997
T6488M116RUS,Ford,Focus,2,21000.0,2006
7361C8197RUS,Ford,Focus,1,800.0,2007
98047H178RUS,Ford,Focus,1,500.0,2013
8316XX154RUS,Ford,Focus,1,1100.0,1984
O752MX161RUS,Ford,Focus,2,2600.0,2016
8234XX154RUS,Ford,Focus,2,2600.0,2007
9488EY178RUS,Ford,Focus,2,1300.0,1981
96857X197RUS,Skoda,Octavia,2,18900.0,1996
O481OH77RUS,Toyota,Camry,2,1000.0,1985
K326T8197RUS,Volkswagen,Passat,1,100.0,2000
90159H178RUS,Volkswagen,Passat,1,8594.5864661654,1980
9469EX178RUS,Ford,Focus,1,4200.0,2015
X796TH96RUS,Ford,Focus,1,500.0,2000
9499KX178RUS,Ford,Focus,1,4600.0,2014
Y358O8197RUS,Ford,Focus,2,21800.0,2007
C420X938RUS,Ford,Focus,2,3300.0,1989
Y965O8197RUS,Ford,Focus,2,1600.0,1983
96429X178RUS,Ford,Focus,2,1300.0,1990
Y274O8197RUS,Ford,Focus,2,10700.0,1986
Y358O8197RUS,Ford,Focus,1,43600.0,2011
E223YM197RUS,Ford,Focus,2,19500.0,2015
E42277152RUS,Ford,Focus,2,5300.0,1998
E34877152RUS,Ford,Focus,2,36600.0,2016
Y964EE197RUS,Ford,Focus,2,8594.5864661654,1986
T6049O50RUS,Ford,Focus,2,15000.0,2018
8601XX154RUS,Skoda,Octavia,1,3900.0,1986
H259HY161RUS,Toyota,Corolla,1,900.0,2002
T940CC96RUS,Ford,Focus,1,500.0,2003
T288CT96RUS,Ford,Focus,1,1500.0,1993
Y6839Y50RUS,Ford,Focus,1,1500.0,1986
Y344E877RUS,Ford,Focus,1,1000.0,2006
K889HY161RUS,Ford,Mondeo,2,46200.0,2014
H214X836RUS,Ford,Focus,1,8000.0,1982
T399KX197RUS,Ford,Focus,2,15300.0,2003
O421OT161RUS,Skoda,Octavia,1,1200.0,2007
H232YH197RUS,Ford,Focus,1,8594.5864661654,1988
7360C8197RUS,Ford,Focus,2,9600.0,2014
T6418M116RUS,Ford,Focus,1,49200.0,1997
7248C8197RUS,Ford,Mondeo,2,34400.0,1991
Y194O8161RUS,Ford,Focus,2,900.0,1988
9881HX152RUS,Ford,Focus,2,20600.0,1996
T6359O50RUS,Ford,Focus,2,13500.0,2012
E29677161RUS,Ford,Focus,2,6000.0,1985
T020MM116RUS,Skoda,Octavia,2,3000.0,2016
C798ET50RUS,Ford,Focus,1,5000.0,2006
Y7719C197RUS,Ford,Focus,2,4600.0,1990
9502XX38RUS,Skoda,Octavia,1,3000.0,2007
8521XX154RUS,Ford,Focus,1,1000.0,1980
Y273O8197RUS,Ford,Focus,2,26300.0,1980
M580CH197RUS,Ford,Focus,2,47500.0,2005
K376HE161RUS,Ford,Focus,1,100.0,2013
7193TT36RUS,Ford,Focus,2,3300.0,1994
O785T9163RUS,Ford,Focus,1,500.0,1995
H618YC38RUS,Volkswagen,Golf,1,300.0,2006
Y7689C197RUS,Ford,Focus,1,36000.0,1998
M592CH197RUS,Skoda,Octavia,1,3500.0,2015
Y352O8197RUS,Ford,Focus,2,77700.0,1997
9068EM178RUS,Ford,Focus,1,600.0,2003
7783KT197RUS,Ford,Focus,1,6000.0,2015
Y305E877RUS,Ford,Focus,2,2500.0,1993
E881OT197RUS,Skoda,Octavia,2,5500.0,1987
Y8259C197RUS,Ford,Focus,2,3000.0,1981
Y969O8197RUS,Ford,Focus,2,7800.0,1988
92928M178RUS,Ford,Focus,2,3000.0,1997
O718MM163RUS,Ford,Focus,2,7000.0,1986
Y7129Y50RUS,Ford,Focus,1,8594.5864661654,2009
9975CC77RUS,Ford,Focus,2,7000.0,1990
C592EY154RUS,Ford,Focus,1,2000.0,2014
T195OK161RUS,Ford,Mondeo,1,6700.0,2006
Y966O8197RUS,Ford,Focus,2,20800.0,2007
T914CT197RUS,Toyota,Camry,2,7200.0,2003
E41977152RUS,Ford,Focus,2,2400.0,1986
T171CC96RUS,Ford,Focus,1,1000.0,2000
9464EX178RUS,Ford,Focus,2,2100.0,1982
O50197197RUS,Ford,Focus,2,7800.0,2012
7608EE777RUS,Skoda,Octavia,1,4000.0,2001
X583HE161RUS,Ford,Focus,1,3000.0,1981
Y7229Y50RUS,Ford,Focus,2,2500.0,2004
M6977E152RUS,Ford,Focus,1,500.0,2012
K2797K154RUS,Ford,Focus,1,800.0,2002
8325M7154RUS,Ford,Focus,1,1000.0,2001
Y192O8161RUS,Ford,Focus,2,300.0,2003
7784KT197RUS,Ford,Focus,1,6600.0,1980
96599X178RUS,Ford,Focus,1,500.0,2010
X760HY197RUS,Ford,Focus,1,10100.0,1987
Y358O8197RUS,Ford,Focus,2,10900.0,2013
H966HY161RUS,Ford,Focus,1,500.0,1985
9938KK197RUS,Ford,Focus,2,28500.0,2001
98087H178RUS,Ford,Focus,1,8594.5864661654,1989
K2807K154RUS,Ford,Focus,1,500.0,2004
H977HY161RUS,Ford,Focus,1,600.0,2013
7367C8197RUS,Ford,Focus,1,6000.0,1994
9137X938RUS,Ford,Focus,1,1600.0,2002
Y356O8197RUS,Ford,Focus,2,15300.0,1980
9398MM199RUS,Volkswagen,Passat,1,300.0,2001
8436XX154RUS,Ford,Focus,1,2400.0,2015
8180XX154RUS,Ford,Focus,2,1400.0,2013
E53477152RUS,Ford,Focus,1,7200.0,1997
O718MM163RUS,Ford,Focus,2,3500.0,1982
9677MO178RUS,Ford,Mondeo,1,1100.0,1997
9498KX178RUS,Ford,Focus,1,4000.0,2007
K436MO152RUS,Ford,Focus,2,3000.0,1995
7194TT36RUS,Ford,Focus,2,2300.0,1992
7364C8197RUS,Ford,Focus,2,4500.0,1984
O136HO197RUS,Toyota,Corolla,2,7800.0,1996
O68897197RUS,Ford,Focus,2,12300.0,2003
O718MM163RUS,Ford,Focus,2,8594.5864661654,1999
7065C8197RUS,Volkswagen,Passat,2,11400.0,2001
O22097197RUS,Ford,Focus,1,24300.0,1994
Y163O8161RUS,Ford,Focus,2,1600.0,2002
M0309X197RUS,Ford,Focus,1,22300.0,2017
O673E8197RUS,Ford,Focus,2,600.0,2011
8610T8154RUS,Ford,Focus,1,2000.0,1982
H419XE197RUS,Toyota,Corolla,2,8594.5864661654,1985
Y123XX77,Tesla,Model 3,0,500.0,2022
A777AA99,Mercedes-Benz,S-Class,1,2500.0,2021
M555MM50,BMW,M5,0,1500.0,2019
B001BB11,Audi,RS6,0,3000.0,2023
E999EE178,Porsche,911,1,5000.0,2020
